variance_x,variance_yaw,variance_z,mean_x,up_x,low_x,mean_yaw,up_yaw,low_yaw,mean_z,up_z,low_z
4.8100516903950554e-05,0.03384170824803543,0.0007108248756178256,0.0050143796780076294,0.005091458804544846,0.004937300551470413,-0.4916501527101292,-0.4896056483015206,-0.4936946571187378,-0.007424123747641147,-0.007127815853685392,-0.007720431641596902
4.2132293724908866e-05,0.02945796349112018,0.0005581167054573824,-0.0026754800026164995,-0.0026033411111398364,-0.0027476188940931626,-0.5123560758878372,-0.5104485814834366,-0.5142635702922377,-0.0012103121258899715,-0.0009477546287230934,-0.0014728696230568495
4.8625845562271666e-05,0.026058405886475938,0.0005409735294205401,0.009552610057538014,0.009630108950000871,0.009475111165075156,-0.523114977479605,-0.5213209221407197,-0.5249090328184903,-0.0029784899879790523,-0.0027199963133400593,-0.003236983662618045
1.9209985738738843e-05,0.034485942027866784,0.0006758694271615904,0.005576635230067022,0.005625346049337722,0.0055279244107963215,-0.4731367975285055,-0.4710729245751578,-0.4752006704818532,0.0032283746848270263,0.003517305134617101,0.0029394442350369515
0.00014236165171823003,0.032340981218074535,0.0007624387191329431,0.011009392527778664,0.011141997076510262,0.010876787979047066,-0.48722913055045275,-0.4852304724461308,-0.4892277886547747,-0.010162892850989876,-0.009856015819551683,-0.010469769882428068
0.00013263350431861015,0.0207900480406712,0.0006262400492018612,0.011881310322701183,0.012009304005401093,0.011753316640001272,-0.4957549929041872,-0.49415252382117286,-0.4973574619872015,-0.004674407618715481,-0.004396287547519391,-0.0049525276899115706
0.00011444702493038563,0.019328494314123798,0.0006355847865143591,0.01582435400205874,0.01594324915958882,0.01570545884452866,-0.5305262147814724,-0.528981099368413,-0.5320713301945319,-0.003880666170378733,-0.003600478732778743,-0.004160853607978723
0.00013168862269448018,0.015291710254216865,0.0003288341685103678,0.0015457111304973993,0.0016732480845511905,0.0014181741764436081,-0.5334501633104287,-0.532075836739701,-0.5348244898811564,0.0004242204616467627,0.0006257554162137919,0.00022268550707973345
8.003214353249329e-05,0.014231121961669112,0.00034972340171507567,0.004799052776153008,0.004898477441370344,0.004699628110935672,-0.5146720030160986,-0.5133461924276602,-0.515997813604537,-0.000782609293726626,-0.0005747716261921027,-0.0009904469612611493
8.068155293511948e-05,0.012630706074164402,0.00021353475377771836,0.004166256834641264,0.004266084068487735,0.004066429600794793,-0.5244802265478253,-0.5232311883292615,-0.5257292647663891,-0.0018119266086966605,-0.0016495228048548222,-0.001974330412538499
